seuNumero,tipoOpFinanceira
12886,04 - Via Compensação
12888,07 - Via Pix
12904,04 - Via Compensação
12917,04 - Via Compensação
12934,04 - Via Compensação
12957,07 - Via Pix
12966,04 - Via Compensação
12979,07 - Via Pix
12990,04 - Via Compensação
12994,04 - Via Compensação
13034,07 - Via Pix
13037,07 - Via Pix
13041,04 - Via Compensação
13047,04 - Via Compensação
13050,04 - Via Compensação
13062,04 - Via Compensação
13065,04 - Via Compensação
13069,04 - Via Compensação
13076,04 - Via Compensação
13070,07 - Via Pix
13086,04 - Via Compensação
1007625,04 - Via Compensação
13100,04 - Via Compensação
13116,04 - Via Compensação
13122,04 - Via Compensação
13125,04 - Via Compensação
13128,04 - Via Compensação
13135,04 - Via Compensação
13139,04 - Via Compensação
13142,04 - Via Compensação
13144,04 - Via Compensação
13156,04 - Via Compensação
13163,04 - Via Compensação
13168,04 - Via Compensação
13171,04 - Via Compensação
13185,04 - Via Compensação
13191,07 - Via Pix
13202,04 - Via Compensação
13208,04 - Via Compensação
13224,04 - Via Compensação
13239,07 - Via Pix
13241,04 - Via Compensação
13247,07 - Via Pix
13271,04 - Via Compensação
13279,04 - Via Compensação
13289,04 - Via Compensação
13293,07 - Via Pix
13301,04 - Via Compensação
13308,04 - Via Compensação
13312,04 - Via Compensação
13320,04 - Via Compensação
13323,07 - Via Pix
13329,04 - Via Compensação
13340,04 - Via Compensação
13348,04 - Via Compensação
13365,04 - Via Compensação
13368,04 - Via Compensação
13379,04 - Via Compensação
13385,04 - Via Compensação
13387,04 - Via Compensação
13398,04 - Via Compensação
13409,04 - Via Compensação
13412,04 - Via Compensação
13420,04 - Via Compensação
13426,07 - Via Pix
13446,04 - Via Compensação
13449,04 - Via Compensação
13462,04 - Via Compensação
13470,04 - Via Compensação
13473,04 - Via Compensação
13488,04 - Via Compensação
13494,04 - Via Compensação
13503,04 - Via Compensação
13511,04 - Via Compensação
13513,04 - Via Compensação
13524,04 - Via Compensação
13527,04 - Via Compensação
13530,04 - Via Compensação
13546,04 - Via Compensação
13548,04 - Via Compensação
13552,04 - Via Compensação
13558,04 - Via Compensação
13569,04 - Via Compensação
1007451,04 - Via Compensação
13588,04 - Via Compensação
13592,04 - Via Compensação
13599,07 - Via Pix
13616,04 - Via Compensação
1007663,04 - Via Compensação
13629,04 - Via Compensação
13635,04 - Via Compensação
13638,07 - Via Pix
13641,04 - Via Compensação
13654,07 - Via Pix
10090,04 - Via Compensação
10100,04 - Via Compensação
10119,04 - Via Compensação
10125,04 - Via Compensação
10139,04 - Via Compensação
10147,04 - Via Compensação
10153,04 - Via Compensação
10161,04 - Via Compensação
10184,04 - Via Compensação
10191,07 - Via Pix
10209,04 - Via Compensação
10224,04 - Via Compensação
10227,04 - Via Compensação
10230,04 - Via Compensação
10247,04 - Via Compensação
10253,04 - Via Compensação
10264,04 - Via Compensação
10268,04 - Via Compensação
10271,07 - Via Pix
10277,04 - Via Compensação
10281,07 - Via Pix
10289,04 - Via Compensação
10292,04 - Via Compensação
10295,04 - Via Compensação
10299,04 - Via Compensação
10312,04 - Via Compensação
10278,04 - Via Compensação
10317,04 - Via Compensação
10320,04 - Via Compensação
10334,04 - Via Compensação
10340,04 - Via Compensação
10350,04 - Via Compensação
10357,04 - Via Compensação
10361,04 - Via Compensação
10371,04 - Via Compensação
10390,07 - Via Pix
10392,04 - Via Compensação
10408,04 - Via Compensação
10411,04 - Via Compensação
10418,04 - Via Compensação
10420,04 - Via Compensação
10426,04 - Via Compensação
10436,04 - Via Compensação
10441,04 - Via Compensação
10451,07 - Via Pix
10463,04 - Via Compensação
10465,04 - Via Compensação
10469,04 - Via Compensação
10473,04 - Via Compensação
10484,04 - Via Compensação
10486,07 - Via Pix
10502,04 - Via Compensação
10512,04 - Via Compensação
10514,07 - Via Pix
10522,04 - Via Compensação
10525,07 - Via Pix
10528,04 - Via Compensação
10541,04 - Via Compensação
10547,04 - Via Compensação
1007476,04 - Via Compensação
10556,07 - Via Pix
10563,07 - Via Pix
10569,04 - Via Compensação
10576,07 - Via Pix
10578,04 - Via Compensação
10581,07 - Via Pix
10587,07 - Via Pix
10594,04 - Via Compensação
10596,04 - Via Compensação
10589,04 - Via Compensação
10609,04 - Via Compensação
10613,07 - Via Pix
10622,04 - Via Compensação
10630,04 - Via Compensação
10633,04 - Via Compensação
10637,07 - Via Pix
10645,04 - Via Compensação
10652,04 - Via Compensação
10655,04 - Via Compensação
10666,04 - Via Compensação
10670,04 - Via Compensação
10672,04 - Via Compensação
10677,04 - Via Compensação
10680,04 - Via Compensação
10686,04 - Via Compensação
10688,07 - Via Pix
10692,04 - Via Compensação
10704,04 - Via Compensação
10210,04 - Via Compensação
10717,04 - Via Compensação
10716,04 - Via Compensação
10723,04 - Via Compensação
10733,04 - Via Compensação
10736,04 - Via Compensação
10738,04 - Via Compensação
10740,04 - Via Compensação
10748,07 - Via Pix
10754,07 - Via Pix
10762,04 - Via Compensação
10768,04 - Via Compensação
10770,07 - Via Pix
10776,04 - Via Compensação
10794,04 - Via Compensação
10803,07 - Via Pix
10819,07 - Via Pix
10821,04 - Via Compensação
10833,07 - Via Pix
10836,07 - Via Pix
10864,07 - Via Pix
10871,04 - Via Compensação
10881,07 - Via Pix
10882,07 - Via Pix
10889,04 - Via Compensação
10895,04 - Via Compensação
10901,04 - Via Compensação
10912,04 - Via Compensação
10913,04 - Via Compensação
10917,04 - Via Compensação
10919,04 - Via Compensação
10922,04 - Via Compensação
10943,04 - Via Compensação
10950,04 - Via Compensação
10960,04 - Via Compensação
10966,04 - Via Compensação
10971,04 - Via Compensação
10983,04 - Via Compensação
10987,07 - Via Pix
10990,04 - Via Compensação
11003,04 - Via Compensação
11007,07 - Via Pix
11008,07 - Via Pix
11010,04 - Via Compensação
11017,04 - Via Compensação
11019,04 - Via Compensação
11024,04 - Via Compensação
11036,07 - Via Pix
11042,04 - Via Compensação
11044,04 - Via Compensação
11050,04 - Via Compensação
11051,04 - Via Compensação
11054,04 - Via Compensação
11057,07 - Via Pix
11059,07 - Via Pix
11076,07 - Via Pix
11084,04 - Via Compensação
11090,04 - Via Compensação
11093,07 - Via Pix
11104,04 - Via Compensação
11106,04 - Via Compensação
11110,04 - Via Compensação
11111,04 - Via Compensação
11123,04 - Via Compensação
11132,04 - Via Compensação
11140,04 - Via Compensação
11142,07 - Via Pix
11146,04 - Via Compensação
11154,04 - Via Compensação
11156,06 - Via Retaguarda
11159,07 - Via Pix
11175,04 - Via Compensação
11180,04 - Via Compensação
11183,04 - Via Compensação
11186,04 - Via Compensação
11194,07 - Via Pix
11201,04 - Via Compensação
11203,04 - Via Compensação
11213,04 - Via Compensação
11215,07 - Via Pix
11220,04 - Via Compensação
11232,04 - Via Compensação
11236,04 - Via Compensação
11246,04 - Via Compensação
11261,04 - Via Compensação
11268,04 - Via Compensação
11276,04 - Via Compensação
11285,07 - Via Pix
11287,04 - Via Compensação
11312,04 - Via Compensação
11318,04 - Via Compensação
11328,04 - Via Compensação
11337,04 - Via Compensação
11350,04 - Via Compensação
11356,07 - Via Pix
11361,04 - Via Compensação
11363,04 - Via Compensação
11372,04 - Via Compensação
11381,07 - Via Pix
11391,04 - Via Compensação
11393,04 - Via Compensação
11396,04 - Via Compensação
11398,04 - Via Compensação
11407,04 - Via Compensação
11409,04 - Via Compensação
11411,04 - Via Compensação
11413,04 - Via Compensação
11423,04 - Via Compensação
11426,07 - Via Pix
11436,04 - Via Compensação
11445,04 - Via Compensação
11448,04 - Via Compensação
11455,07 - Via Pix
11457,04 - Via Compensação
11459,04 - Via Compensação
11462,04 - Via Compensação
11473,07 - Via Pix
11476,07 - Via Pix
11478,07 - Via Pix
11489,04 - Via Compensação
11492,07 - Via Pix
11495,04 - Via Compensação
11498,07 - Via Pix
11510,04 - Via Compensação
11513,04 - Via Compensação
11517,04 - Via Compensação
1007515,04 - Via Compensação
11546,04 - Via Compensação
11565,04 - Via Compensação
11568,07 - Via Pix
11581,04 - Via Compensação
11600,04 - Via Compensação
11605,07 - Via Pix
11606,04 - Via Compensação
11620,04 - Via Compensação
11624,04 - Via Compensação
11634,04 - Via Compensação
11642,04 - Via Compensação
11644,04 - Via Compensação
11650,07 - Via Pix
11653,04 - Via Compensação
11657,04 - Via Compensação
11660,04 - Via Compensação
11673,04 - Via Compensação
11681,04 - Via Compensação
11687,04 - Via Compensação
11691,04 - Via Compensação
11706,04 - Via Compensação
11709,04 - Via Compensação
11714,06 - Via Retaguarda
11715,04 - Via Compensação
11718,04 - Via Compensação
11728,07 - Via Pix
11731,04 - Via Compensação
11734,07 - Via Pix
11737,04 - Via Compensação
11753,04 - Via Compensação
11755,04 - Via Compensação
11764,04 - Via Compensação
11782,04 - Via Compensação
11787,07 - Via Pix
11796,07 - Via Pix
11802,04 - Via Compensação
11805,04 - Via Compensação
11816,04 - Via Compensação
11823,04 - Via Compensação
11828,04 - Via Compensação
11840,06 - Via Retaguarda
11843,04 - Via Compensação
11848,04 - Via Compensação
11863,04 - Via Compensação
11869,04 - Via Compensação
11876,04 - Via Compensação
11887,04 - Via Compensação
11889,04 - Via Compensação
11897,04 - Via Compensação
11900,04 - Via Compensação
1007030,04 - Via Compensação
1007035,04 - Via Compensação
1007048,04 - Via Compensação
1007072,04 - Via Compensação
1007079,04 - Via Compensação
1007104,04 - Via Compensação
1007145,04 - Via Compensação
1007147,04 - Via Compensação
1007213,04 - Via Compensação
1007236,04 - Via Compensação
1007292,04 - Via Compensação
1007351,04 - Via Compensação
1007436,04 - Via Compensação
10055,07 - Via Pix
10063,04 - Via Compensação
10066,07 - Via Pix
10069,04 - Via Compensação
10080,07 - Via Pix
10084,07 - Via Pix
12125,04 - Via Compensação
12135,04 - Via Compensação
12142,04 - Via Compensação
12150,04 - Via Compensação
12163,04 - Via Compensação
12170,04 - Via Compensação
12176,04 - Via Compensação
12182,04 - Via Compensação
12185,04 - Via Compensação
12188,07 - Via Pix
12208,04 - Via Compensação
12209,04 - Via Compensação
12233,04 - Via Compensação
12261,04 - Via Compensação
12260,04 - Via Compensação
12268,07 - Via Pix
12277,04 - Via Compensação
12283,04 - Via Compensação
12286,04 - Via Compensação
12315,04 - Via Compensação
12321,04 - Via Compensação
12331,04 - Via Compensação
12337,04 - Via Compensação
12338,04 - Via Compensação
12336,04 - Via Compensação
12353,04 - Via Compensação
12357,04 - Via Compensação
12360,04 - Via Compensação
12367,04 - Via Compensação
12394,04 - Via Compensação
12408,04 - Via Compensação
12438,04 - Via Compensação
12448,04 - Via Compensação
12453,07 - Via Pix
12462,04 - Via Compensação
12465,07 - Via Pix
12470,04 - Via Compensação
12484,04 - Via Compensação
12492,04 - Via Compensação
12506,04 - Via Compensação
12515,04 - Via Compensação
12529,04 - Via Compensação
12532,04 - Via Compensação
12550,07 - Via Pix
12556,04 - Via Compensação
12561,04 - Via Compensação
12568,07 - Via Pix
12585,04 - Via Compensação
12592,07 - Via Pix
12594,04 - Via Compensação
12596,07 - Via Pix
12607,04 - Via Compensação
12621,04 - Via Compensação
12624,04 - Via Compensação
10061,04 - Via Compensação
12634,04 - Via Compensação
12639,07 - Via Pix
12647,04 - Via Compensação
12654,04 - Via Compensação
12661,04 - Via Compensação
12663,07 - Via Pix
12672,04 - Via Compensação
12677,04 - Via Compensação
12681,04 - Via Compensação
12688,07 - Via Pix
12690,07 - Via Pix
12691,04 - Via Compensação
12695,04 - Via Compensação
12708,04 - Via Compensação
12710,04 - Via Compensação
12719,04 - Via Compensação
12723,04 - Via Compensação
12724,04 - Via Compensação
12737,07 - Via Pix
12749,04 - Via Compensação
12753,04 - Via Compensação
12776,04 - Via Compensação
12791,04 - Via Compensação
12797,04 - Via Compensação
12801,04 - Via Compensação
1007607,04 - Via Compensação
12834,04 - Via Compensação
12843,04 - Via Compensação
12849,04 - Via Compensação
12852,07 - Via Pix
12860,07 - Via Pix
12863,04 - Via Compensação
12873,04 - Via Compensação
12876,04 - Via Compensação
12883,04 - Via Compensação
12893,04 - Via Compensação
12903,04 - Via Compensação
12906,04 - Via Compensação
12928,04 - Via Compensação
12936,04 - Via Compensação
12947,04 - Via Compensação
12956,04 - Via Compensação
12959,04 - Via Compensação
12970,07 - Via Pix
12974,04 - Via Compensação
12978,04 - Via Compensação
12999,07 - Via Pix
13002,04 - Via Compensação
13015,04 - Via Compensação
13016,04 - Via Compensação
13032,04 - Via Compensação
13039,04 - Via Compensação
13054,04 - Via Compensação
13066,04 - Via Compensação
13068,04 - Via Compensação
13074,04 - Via Compensação
13085,04 - Via Compensação
13094,04 - Via Compensação
13113,04 - Via Compensação
13127,04 - Via Compensação
13130,04 - Via Compensação
13147,04 - Via Compensação
13151,04 - Via Compensação
13170,07 - Via Pix
13174,04 - Via Compensação
13176,04 - Via Compensação
13184,07 - Via Pix
13197,04 - Via Compensação
13207,04 - Via Compensação
13211,04 - Via Compensação
13213,07 - Via Pix
13226,04 - Via Compensação
13229,04 - Via Compensação
13240,04 - Via Compensação
13243,04 - Via Compensação
13249,04 - Via Compensação
13252,04 - Via Compensação
1007639,04 - Via Compensação
13273,04 - Via Compensação
13276,04 - Via Compensação
13285,07 - Via Pix
13290,04 - Via Compensação
13295,04 - Via Compensação
13307,04 - Via Compensação
13310,04 - Via Compensação
13315,04 - Via Compensação
13322,04 - Via Compensação
13328,07 - Via Pix
13334,04 - Via Compensação
13336,07 - Via Pix
13344,04 - Via Compensação
13347,04 - Via Compensação
13352,04 - Via Compensação
13369,04 - Via Compensação
13393,04 - Via Compensação
13395,04 - Via Compensação
13411,04 - Via Compensação
13424,07 - Via Pix
13437,04 - Via Compensação
13445,07 - Via Pix
13448,04 - Via Compensação
13467,04 - Via Compensação
13472,07 - Via Pix
13481,04 - Via Compensação
1007654,04 - Via Compensação
13490,04 - Via Compensação
13496,07 - Via Pix
13509,07 - Via Pix
13510,04 - Via Compensação
13518,04 - Via Compensação
13529,04 - Via Compensação
1007658,04 - Via Compensação
13547,04 - Via Compensação
13551,04 - Via Compensação
13560,04 - Via Compensação
13563,04 - Via Compensação
13574,04 - Via Compensação
13577,04 - Via Compensação
13580,04 - Via Compensação
13604,04 - Via Compensação
13615,04 - Via Compensação
13618,04 - Via Compensação
13623,04 - Via Compensação
13637,04 - Via Compensação
13640,04 - Via Compensação
13661,07 - Via Pix
13701,04 - Via Compensação
13706,07 - Via Pix
13716,04 - Via Compensação
13708,04 - Via Compensação
13725,04 - Via Compensação
13728,04 - Via Compensação
13735,07 - Via Pix
13738,04 - Via Compensação
13747,04 - Via Compensação
13767,04 - Via Compensação
13776,04 - Via Compensação
13780,04 - Via Compensação
13784,04 - Via Compensação
13803,07 - Via Pix
13806,04 - Via Compensação
13828,04 - Via Compensação
13830,04 - Via Compensação
1007684,07 - Via Pix
13886,04 - Via Compensação
13895,07 - Via Pix
13913,04 - Via Compensação
13927,04 - Via Compensação
13947,07 - Via Pix
13955,04 - Via Compensação
14046,07 - Via Pix
14070,07 - Via Pix
10336,04 - Via Compensação
10342,04 - Via Compensação
10347,04 - Via Compensação
10355,04 - Via Compensação
10365,04 - Via Compensação
10377,07 - Via Pix
10394,07 - Via Pix
10406,07 - Via Pix
10409,04 - Via Compensação
10410,04 - Via Compensação
10414,04 - Via Compensação
10424,04 - Via Compensação
10427,04 - Via Compensação
10445,07 - Via Pix
10447,07 - Via Pix
10464,04 - Via Compensação
10467,04 - Via Compensação
10470,04 - Via Compensação
10472,04 - Via Compensação
10475,07 - Via Pix
10478,04 - Via Compensação
10487,04 - Via Compensação
10490,04 - Via Compensação
10492,07 - Via Pix
